model,index_type,metric,k,mrr,precision@k,mAP,latency
casia-webface,IVF,minkowski,1,4.904904905,0.049049049,0.049049049,
casia-webface,IVF,minkowski,2,5.455455455,0.030530531,0.054554555,
casia-webface,IVF,minkowski,3,5.922589256,0.025025025,0.059225893,
casia-webface,IVF,minkowski,4,6.172839506,0.021521522,0.061811812,
casia-webface,IVF,minkowski,5,6.272939606,0.018418418,0.06284618,
casia-webface,IVF,cosine,1,4.904904905,0.049049049,0.049049049,
casia-webface,IVF,cosine,2,5.455455455,0.030530531,0.054554555,
casia-webface,IVF,cosine,3,5.922589256,0.025025025,0.059225893,
casia-webface,IVF,cosine,4,6.172839506,0.021521522,0.061811812,
casia-webface,IVF,cosine,5,6.272939606,0.018418418,0.06284618,
casia-webface,brute_force,minkowski,1,9.309309309,0.093093093,0.093093093,
casia-webface,brute_force,minkowski,2,10.51051051,0.061561562,0.105105105,
casia-webface,brute_force,minkowski,3,11.14447781,0.05005005,0.110777444,
casia-webface,brute_force,minkowski,4,11.54487821,0.042542543,0.114364364,
casia-webface,brute_force,minkowski,5,11.76509843,0.037437437,0.11608553,
casia-webface,brute_force,cosine,1,9.309309309,0.093093093,0.093093093,
casia-webface,brute_force,cosine,2,10.51051051,0.061561562,0.105105105,
casia-webface,brute_force,cosine,3,11.14447781,0.05005005,0.110777444,
casia-webface,brute_force,cosine,4,11.54487821,0.042542543,0.114364364,
casia-webface,brute_force,cosine,5,11.76509843,0.037437437,0.11608553,
casia-webface,HNSW,minkowski,1,8.708708709,0.087087087,0.087087087,
casia-webface,HNSW,minkowski,2,9.70970971,0.057057057,0.097097097,
casia-webface,HNSW,minkowski,3,10.17684351,0.045378712,0.100767434,
casia-webface,HNSW,minkowski,4,10.45211879,0.037037037,0.103492381,
casia-webface,HNSW,minkowski,5,10.67233901,0.032632633,0.105119008,
casia-webface,HNSW,cosine,1,8.708708709,0.087087087,0.087087087,
casia-webface,HNSW,cosine,2,9.70970971,0.057057057,0.097097097,
casia-webface,HNSW,cosine,3,10.17684351,0.045378712,0.100767434,
casia-webface,HNSW,cosine,4,10.45211879,0.037037037,0.103492381,
casia-webface,HNSW,cosine,5,10.67233901,0.032632633,0.105119008,
vggface2,IVF,minkowski,1,27.82782783,0.278278278,0.278278278,
vggface2,IVF,minkowski,2,28.77877878,0.185185185,0.287787788,
vggface2,IVF,minkowski,3,29.14581248,0.138805472,0.290957624,
vggface2,IVF,minkowski,4,29.32098765,0.113363363,0.290707374,
vggface2,IVF,minkowski,5,29.56122789,0.096296296,0.292402124,
vggface2,IVF,cosine,1,27.82782783,0.278278278,0.278278278,
vggface2,IVF,cosine,2,28.77877878,0.185185185,0.287787788,
vggface2,IVF,cosine,3,29.14581248,0.138805472,0.290957624,
vggface2,IVF,cosine,4,29.32098765,0.113363363,0.290707374,
vggface2,brute_force,minkowski,1,50.65065065,0.506506507,0.506506507,
vggface2,brute_force,minkowski,2,54.1041041,0.356356356,0.541041041,
vggface2,brute_force,minkowski,3,55.57223891,0.282949616,0.552469136,
vggface2,brute_force,minkowski,4,56.09776443,0.236736737,0.552330108,
vggface2,brute_force,minkowski,5,56.57824491,0.205405405,0.55513013,
vggface2,brute_force,cosine,1,50.65065065,0.506506507,0.506506507,
vggface2,brute_force,cosine,2,54.1041041,0.356356356,0.541041041,
vggface2,brute_force,cosine,3,55.57223891,0.282949616,0.552469136,
vggface2,brute_force,cosine,4,56.09776443,0.236736737,0.552330108,
vggface2,brute_force,cosine,5,56.57824491,0.205405405,0.55513013,72.9145124
vggface2,HNSW,minkowski,1,49.74974975,0.497497497,0.497497497,
vggface2,HNSW,minkowski,2,53.25325325,0.351851852,0.532532533,
vggface2,HNSW,minkowski,3,54.68802135,0.280613947,0.54337671,
vggface2,HNSW,minkowski,4,55.18852186,0.234234234,0.543237682,
vggface2,HNSW,minkowski,5,55.58892226,0.202802803,0.545061728,
vggface2,HNSW,cosine,1,49.74974975,0.497497497,0.497497497,
vggface2,HNSW,cosine,2,53.25325325,0.351851852,0.532532533,
vggface2,HNSW,cosine,3,54.68802135,0.280613947,0.54337671,
vggface2,HNSW,cosine,4,55.18852186,0.234234234,0.543237682,
vggface2,HNSW,cosine,5,55.58892226,0.202802803,0.545061728,84.59402204
vggface2,IVF,cosine,5,29.56122789,0.096296296,0.292402124,73.62512636
vggface2,IVFPQ,cosine,5,1.421421421,0.006806807,0.014214214,
vggface2,brute_force,cosine,6,56.71171171,0.18301635,0.551223446,
vggface2,brute_force,cosine,7,56.88331188,0.164879165,0.549826255,
vggface2,brute_force,cosine,8,57.07099957,0.1498999,0.549746243,
vggface2,brute_force,cosine,9,57.15997744,0.137582026,0.548060409,
vggface2,brute_force,cosine,10,57.26007754,0.127427427,0.546603663,
vggface2,HNSW,cosine,6,55.70570571,0.18018018,0.541655544,
vggface2,HNSW,cosine,7,55.87730588,0.162305162,0.540257162,
vggface2,HNSW,cosine,8,56.03996854,0.147397397,0.54017715,
vggface2,HNSW,cosine,9,56.10670194,0.135691247,0.538148343,
vggface2,HNSW,cosine,10,56.18678202,0.125625626,0.536404911,
vggface2,IVFSQ,cosine,5,25.31531532,0.081281281,0.248830775,81.78113937
vggface2,LSH,cosine,5,2.902902903,0.012012012,0.029262596,
vggface2,PQ,cosine,5,0.20687354,0.001601602,0.002068735,
